date,permno,tic,conm,PRC,atq,dlcq,dlttq,SHROUT,market_cap,total_debt,leverage,log_return,equity_volatility,rf,merton_pd,pd_valid
2008-09-15,66800,AIG,AMERICAN INTERNATIONAL GROUP,4.76,1049876000000.0,52141000000.0,163577000000.0,2688834.0,12798849840.0,133929500000.0,0.2054699793118425,-0.9362581173880236,1.184655266718994,3.47,,False
2008-09-16,66800,AIG,AMERICAN INTERNATIONAL GROUP,3.75,1049876000000.0,52141000000.0,163577000000.0,2688834.0,10083127500.0,133929500000.0,0.2054699793118425,-0.238491828261009,1.2063649383315511,3.48,,False
2008-09-17,66800,AIG,AMERICAN INTERNATIONAL GROUP,2.05,1049876000000.0,52141000000.0,163577000000.0,2688834.0,5512109699.999999,133929500000.0,0.2054699793118425,-0.6039160468320027,1.3433913552168046,3.41,,False
2008-09-18,66800,AIG,AMERICAN INTERNATIONAL GROUP,2.69,1049876000000.0,52141000000.0,163577000000.0,2688834.0,7232963460.0,133929500000.0,0.2054699793118425,0.271701400463431,1.3732017429642132,3.54,,False
2008-09-19,66800,AIG,AMERICAN INTERNATIONAL GROUP,3.85,1049876000000.0,52141000000.0,163577000000.0,2688834.0,10352010900.0,133929500000.0,0.2054699793118425,0.3585319546859452,1.4225119557038712,3.78,,False
2008-09-22,66800,AIG,AMERICAN INTERNATIONAL GROUP,4.72,1049876000000.0,52141000000.0,163577000000.0,2688834.0,12691296479.999998,133929500000.0,0.2054699793118425,0.2037356512977711,1.4386309925156024,3.83,,False
2008-09-23,66800,AIG,AMERICAN INTERNATIONAL GROUP,5.0,1049876000000.0,52141000000.0,163577000000.0,2688834.0,13444170000.0,133929500000.0,0.2054699793118425,0.0576291128366364,1.4402415327488292,3.85,,False
2008-09-24,66800,AIG,AMERICAN INTERNATIONAL GROUP,3.31,1049876000000.0,52141000000.0,163577000000.0,2688834.0,8900040540.000002,133929500000.0,0.2054699793118425,-0.4124897230451287,1.4952550679966885,3.8,,False
2008-09-25,66800,AIG,AMERICAN INTERNATIONAL GROUP,3.02,1049876000000.0,52141000000.0,163577000000.0,2688834.0,8120278680.0,133929500000.0,0.2054699793118425,-0.0916913580021933,1.4972596379604546,3.88,,False
2008-09-26,66800,AIG,AMERICAN INTERNATIONAL GROUP,3.15,1049876000000.0,52141000000.0,163577000000.0,2688834.0,8469827100.0,133929500000.0,0.2054699793118425,0.0421456214507633,1.498207960922827,3.85,,False
2008-09-29,66800,AIG,AMERICAN INTERNATIONAL GROUP,2.5,1049876000000.0,52141000000.0,163577000000.0,2688834.0,6722085000.0,133929500000.0,0.2054699793118425,-0.2311117209633865,1.5140408348965373,3.61,,False
2008-09-30,66800,AIG,AMERICAN INTERNATIONAL GROUP,3.33,1022237000000.0,22898000000.0,218950000000.0,2688834.0,8953817220.0,132373000000.0,0.2365870145572895,0.2866815721181974,1.54321635466338,3.85,,False
2008-10-01,66800,AIG,AMERICAN INTERNATIONAL GROUP,3.95,1022237000000.0,22898000000.0,218950000000.0,2688834.0,10620894300.0,132373000000.0,0.2365870145572895,0.170743274920678,1.553910891821806,3.77,,False
2008-10-02,66800,AIG,AMERICAN INTERNATIONAL GROUP,4.0,1022237000000.0,22898000000.0,218950000000.0,2688834.0,10755336000.0,132373000000.0,0.2365870145572895,0.0125787822068599,1.554058149853781,3.66,,False
2008-10-03,66800,AIG,AMERICAN INTERNATIONAL GROUP,3.86,1022237000000.0,22898000000.0,218950000000.0,2688834.0,10378899240.0,132373000000.0,0.2365870145572895,-0.0356271776431511,1.554205457303513,3.63,,False
2008-10-06,66800,AIG,AMERICAN INTERNATIONAL GROUP,3.87,1022237000000.0,22898000000.0,218950000000.0,2688834.0,10405787580.0,132373000000.0,0.2365870145572895,0.0025873235649509,1.5541615788826024,3.48,,False
2008-10-07,66800,AIG,AMERICAN INTERNATIONAL GROUP,3.51,1022237000000.0,22898000000.0,218950000000.0,2688834.0,9437807340.0,132373000000.0,0.2365870145572895,-0.097638469563916,1.5565065303382035,3.5,,False
2008-10-08,66800,AIG,AMERICAN INTERNATIONAL GROUP,3.19,1022237000000.0,22898000000.0,218950000000.0,2688834.0,8577380459.999999,132373000000.0,0.2365870145572895,-0.0955951206810211,1.5585904917645004,3.72,,False
2008-10-09,66800,AIG,AMERICAN INTERNATIONAL GROUP,2.39,1022237000000.0,22898000000.0,218950000000.0,2688834.0,6426313260.000001,132373000000.0,0.2365870145572895,-0.2887275508533338,1.5828925660805553,3.84,,False
2008-10-10,66800,AIG,AMERICAN INTERNATIONAL GROUP,2.33,1022237000000.0,22898000000.0,218950000000.0,2688834.0,6264983220.0,132373000000.0,0.2365870145572895,-0.0254250983658101,1.5829209096865646,3.89,,False
2008-10-13,66800,AIG,AMERICAN INTERNATIONAL GROUP,2.57,1022237000000.0,22898000000.0,218950000000.0,2688834.0,6910303380.0,132373000000.0,0.2365870145572895,0.0980376313295191,1.5867898009753243,3.89,,False
2008-10-14,66800,AIG,AMERICAN INTERNATIONAL GROUP,2.8,1022237000000.0,22898000000.0,218950000000.0,2688834.0,7528735199.999999,132373000000.0,0.2365870145572895,0.0857135182740297,1.5898434994516517,4.08,,False
2008-10-15,66800,AIG,AMERICAN INTERNATIONAL GROUP,2.43,1022237000000.0,22898000000.0,218950000000.0,2688834.0,6533866620.0,132373000000.0,0.2365870145572895,-0.141728159828701,1.5950725823555043,4.04,,False
2008-10-16,66800,AIG,AMERICAN INTERNATIONAL GROUP,2.43,1022237000000.0,22898000000.0,218950000000.0,2688834.0,6533866620.0,132373000000.0,0.2365870145572895,0.0,1.5951135708666084,3.99,,False
2008-10-17,66800,AIG,AMERICAN INTERNATIONAL GROUP,2.1,1022237000000.0,22898000000.0,218950000000.0,2688834.0,5646551400.0,132373000000.0,0.2365870145572895,-0.1459539126230798,1.6006374142730442,3.98,,False
2008-10-20,66800,AIG,AMERICAN INTERNATIONAL GROUP,2.31,1022237000000.0,22898000000.0,218950000000.0,2688834.0,6211206540.0,132373000000.0,0.2365870145572895,0.0953101798043249,1.60429450638348,3.91,,False
2008-10-21,66800,AIG,AMERICAN INTERNATIONAL GROUP,2.21,1022237000000.0,22898000000.0,218950000000.0,2688834.0,5942323140.0,132373000000.0,0.2365870145572895,-0.0442550090040408,1.6044999253802148,3.76,,False
2008-10-22,66800,AIG,AMERICAN INTERNATIONAL GROUP,2.11,1022237000000.0,22898000000.0,218950000000.0,2688834.0,5673439739.999999,132373000000.0,0.2365870145572895,-0.0463045680416863,1.604644334833099,3.65,,False
2008-10-23,66800,AIG,AMERICAN INTERNATIONAL GROUP,2.1,1022237000000.0,22898000000.0,218950000000.0,2688834.0,5646551400.0,132373000000.0,0.2365870145572895,-0.0047506027585977,1.6046539381911618,3.63,,False
2008-10-24,66800,AIG,AMERICAN INTERNATIONAL GROUP,1.7,1022237000000.0,22898000000.0,218950000000.0,2688834.0,4571017800.0,132373000000.0,0.2365870145572895,-0.211309093667207,1.6166898133592198,3.76,,False
2008-10-27,66800,AIG,AMERICAN INTERNATIONAL GROUP,1.35,1022237000000.0,22898000000.0,218950000000.0,2688834.0,3629925900.000001,132373000000.0,0.2365870145572895,-0.2305236586118322,1.6309555847759742,3.79,,False
2008-10-28,66800,AIG,AMERICAN INTERNATIONAL GROUP,1.83,1022237000000.0,22898000000.0,218950000000.0,2688834.0,4920566220.0,132373000000.0,0.2365870145572895,0.3042113744029915,1.661652709018719,3.89,,False
